loginId,visits,female,game,teacher,eng_class,course_total,total_assm,total_time,avg_time,maxLevel,finalLevel,total_wk,m30_n,stay_30m
7545,8,1,0,1,14,76,8,314,39.25,3,3,2,2,2.616667
7547,17,0,0,1,14,90,20,1053,52.65,5,1,8,9,1.95
7548,6,0,0,1,14,76,18,837,46.5,4,3,4,4,3.4875
7549,11,1,0,1,14,78,73,3853,52.78082,8,8,6,8,8.027083
7550,6,0,0,1,14,76,28,1473,52.60714,4,3,4,4,6.1375
7553,2,1,0,1,14,93,6,263,43.83333,4,4,2,2,2.191667
7554,6,1,0,1,14,93,8,367,45.875,3,2,2,2,3.058333
7555,60,1,0,1,14,89,196,7297,37.22959,4,4,9,16,7.601042
7556,9,1,0,1,14,69,50,2623,52.46,6,6,4,4,10.92917
7557,9,1,0,1,14,70,67,3894,58.1194,7,6,7,8,8.1125
7558,14,1,0,1,14,77,59,2878,48.77966,8,8,7,7,6.852381
7559,5,1,0,1,14,77,42,2169,51.64286,3,3,4,4,9.0375
7560,5,1,0,1,14,71,47,1855,39.46809,3,1,4,5,6.183333
7561,3,1,0,1,14,93,16,609,38.0625,3,3,2,2,5.075
7562,11,1,0,1,14,80,34,1739,51.14706,6,6,3,3,9.661111
7563,9,1,0,1,14,73,35,1869,53.4,6,6,4,4,7.7875
7564,8,0,0,2,21,61,104,1748,16.80769,3,1,3,3,9.711111
7565,14,1,0,2,21,84,191,9117,47.73298,13,13,5,14,10.85357
7566,8,1,0,2,21,86,38,1509,39.71053,5,4,2,3,8.383333
7567,4,1,0,2,21,89,40,2171,54.275,11,10,3,3,12.06111
7569,4,0,0,2,21,75,26,1382,53.15385,6,4,2,2,11.51667
7570,8,0,0,2,21,64,30,1176,39.2,4,1,3,4,4.9
7575,3,0,0,2,21,62,25,1422,56.88,5,4,2,2,11.85
7577,5,0,0,2,21,50,45,686,15.24444,1,1,3,3,3.811111
7578,6,1,0,2,21,84,41,1949,47.53659,8,8,4,4,8.120833
7580,5,1,0,2,21,72,87,3861,44.37931,7,6,4,6,10.725
7581,11,1,0,2,21,85,69,3886,56.31884,10,9,4,7,9.252381
7582,14,1,0,2,21,86,78,4298,55.10257,11,11,5,9,7.959259
7583,7,1,0,2,21,81,70,3317,47.38572,7,5,3,5,11.05667
7585,7,0,0,2,21,82,167,4677,28.00599,8,1,4,5,15.59
7586,5,1,0,2,21,82,36,2083,57.86111,7,6,3,3,11.57222
7587,3,0,0,2,21,83,25,1273,50.92,5,4,2,2,10.60833
7588,5,1,0,2,21,79,60,2912,48.53333,6,5,4,4,12.13333
7589,6,1,0,2,21,74,148,3026,20.44595,4,2,1,3,16.81111
7616,50,0,0,3,31,82,39,1949,49.97436,8,8,5,5,6.496666
7617,8,1,0,3,31,77,65,3427,52.72308,6,5,5,7,8.159524
7618,32,1,0,3,31,96,144,8453,58.70139,11,11,8,10,14.08833
7619,11,1,0,3,31,88,37,2066,55.83784,10,10,4,4,8.608334
7620,33,1,0,3,31,92,125,7272,58.176,13,13,8,9,13.46667
7621,40,1,0,3,31,83,138,7390,53.55072,7,7,7,8,15.39583
7622,27,1,0,3,31,92,68,3975,58.45588,7,7,6,6,11.04167
7623,10,1,0,3,31,100,43,2072,48.18605,7,6,3,3,11.51111
7624,7,1,0,3,31,59,40,2265,56.625,4,3,3,3,12.58333
7625,13,0,0,3,31,78,83,4608,55.51807,7,7,6,8,9.6
7626,15,0,0,3,31,59,89,5176,58.1573,3,1,7,7,12.32381
7629,24,1,0,3,31,81,37,2068,55.89189,7,7,2,2,17.23333
7632,5,1,0,3,31,78,19,933,49.10526,5,5,3,3,5.183333
7633,13,0,0,3,31,71,31,1337,43.12903,4,3,2,3,7.427778
7634,8,0,0,3,31,69,104,5288,50.84615,2,1,6,7,12.59048
7635,41,1,0,3,31,90,163,8330,51.10429,12,11,9,9,15.42593
7636,11,1,0,3,31,99,51,2950,57.84314,9,8,6,6,8.194445
7638,5,1,0,3,31,82,27,1580,58.51852,6,4,3,3,8.777778
7639,11,1,0,3,31,82,109,6084,55.81651,11,9,5,9,11.26667
7645,19,1,0,3,32,96,133,7543,56.71429,10,9,6,8,15.71458
7647,2,1,0,3,32,78,24,1325,55.20833,6,6,2,2,11.04167
7649,5,1,0,3,32,81,23,1181,51.34783,7,7,2,2,9.841666
7656,8,0,0,3,33,72,57,2155,37.80702,3,2,5,5,7.183333
7657,37,1,0,3,33,79,65,3463,53.27692,8,8,5,5,11.54333
7658,14,0,0,3,33,76,17,924,54.35294,5,5,1,2,7.7
7661,13,1,0,3,33,80,82,4686,57.14634,6,6,5,6,13.01667
7663,4,1,0,3,33,89,26,1273,48.96154,6,6,1,2,10.60833
7665,8,1,0,3,33,80,46,2598,56.47826,7,7,4,4,10.825
7668,20,1,0,3,33,100,17,907,53.35294,6,6,1,2,7.558333
7672,5,1,0,3,33,80,26,1239,47.65385,4,4,3,3,6.883333
7673,6,1,0,3,33,87,26,1476,56.76923,5,4,3,4,6.15
7679,8,1,0,3,33,81,68,3747,55.10294,6,6,6,7,8.921429
7680,11,1,0,3,33,88,43,2553,59.37209,8,7,3,3,14.18333
7685,7,1,0,3,34,79,92,5271,57.29348,9,9,6,6,14.64167
7690,11,1,0,3,34,79,60,3132,52.2,5,5,1,2,26.1
7696,8,1,0,3,34,80,27,1370,50.74074,4,4,3,5,4.566667
7697,6,1,0,3,34,80,27,1555,57.59259,6,6,3,3,8.638889
7698,43,1,0,3,34,90,177,9665,54.60452,13,13,8,10,16.10833
7707,11,1,0,3,34,,40,2286,57.15,9,9,6,7,5.442857
7709,5,1,0,3,35,76,34,1747,51.38235,5,5,2,3,9.705556
7712,43,1,0,3,35,94,133,7031,52.86466,13,13,9,10,11.71833
7713,21,1,0,3,35,83,40,2065,51.625,5,4,4,4,8.604167
7714,15,1,0,3,35,81,81,4465,55.12346,9,9,6,7,10.63095
7715,8,1,0,3,35,87,54,3034,56.18518,7,7,5,5,10.11333
7719,6,1,0,3,35,92,37,1969,53.21622,7,6,2,4,8.204166
7723,20,1,0,3,35,87,82,4722,57.58537,13,13,5,6,13.11667
7732,13,1,0,3,35,100,86,4885,56.80233,11,11,5,7,11.63095
7735,2,0,0,4,41,64,37,787,21.27027,3,2,2,2,6.558333
7736,2,0,0,4,41,74,29,1528,52.68966,3,2,2,2,12.73333
7738,5,0,0,4,41,71,54,2753,50.98148,7,7,2,2,22.94167
7745,11,1,0,4,41,84,86,4316,50.18605,10,10,3,6,11.98889
7746,6,1,0,4,41,90,48,2383,49.64583,11,11,3,4,9.929167
7747,13,1,0,4,41,87,65,3469,53.36923,8,6,8,10,5.781667
7751,2,1,0,4,41,75,26,772,29.69231,3,3,2,2,6.433333
7759,7,0,0,4,42,64,59,2871,48.66102,6,6,3,3,15.95
7762,4,0,0,4,42,72,15,562,37.46667,4,4,2,2,4.683333
7767,15,1,0,4,42,85,93,5155,55.43011,11,10,6,7,12.27381
7770,16,1,0,4,42,83,111,6304,56.79279,10,9,11,12,8.755555
7772,6,1,0,4,42,81,75,4253,56.70667,11,10,4,4,17.72083
7775,3,1,0,4,42,76,9,540,60,4,4,2,2,4.5
7776,6,1,0,4,42,68,10,600,60,3,3,2,3,3.333333
7777,5,1,0,4,42,78,13,707,54.38462,5,5,2,2,5.891667
7778,3,1,0,4,42,80,13,712,54.76923,5,5,1,2,5.933333
7780,4,1,0,4,42,69,20,1089,54.45,5,5,2,3,6.05
7784,49,1,0,4,43,85,183,10240,55.95628,8,7,9,15,11.37778
7786,7,0,0,4,43,70,45,1883,41.84444,4,1,3,5,6.276667
7788,13,1,0,4,43,86,64,3315,51.79688,10,8,6,6,9.208333
7789,17,1,0,4,43,94,60,3446,57.43333,10,10,6,6,9.572222
7790,6,1,0,4,43,75,18,921,51.16667,5,4,2,2,7.675
7792,5,1,0,4,43,70,50,2330,46.6,5,5,2,5,7.766667
7793,12,1,0,4,43,78,107,6106,57.06542,12,12,3,5,20.35333
7794,7,0,0,4,43,78,74,4161,56.22973,8,7,3,3,23.11667
7796,12,1,0,4,43,80,75,4151,55.34667,10,9,5,6,11.53056
7797,6,1,0,4,43,78,30,1589,52.96667,5,4,3,4,6.620833
7798,8,1,0,4,43,83,49,2742,55.95918,11,10,4,6,7.616667
7802,10,1,0,4,43,89,23,1303,56.65217,7,7,2,2,10.85833
7803,6,1,0,4,43,80,36,1840,51.11111,6,6,3,3,10.22222
7804,12,1,0,4,43,77,123,6641,53.99187,10,10,2,4,27.67083
7807,8,0,0,4,43,74,110,4758,43.25455,8,8,2,4,19.825
7810,2,0,0,4,44,72,26,1184,45.53846,5,5,2,2,9.866667
7811,3,0,0,4,44,72,23,1000,43.47826,3,2,2,2,8.333333
7812,5,0,0,4,44,67,72,973,13.51389,3,1,4,5,3.243333
7813,2,0,0,4,44,70,42,508,12.09524,3,1,2,2,4.233333
7816,3,1,0,4,44,80,32,1844,57.625,5,5,2,2,15.36667
7817,13,1,0,4,44,83,130,7410,57,11,11,7,8,15.4375
7818,2,1,0,4,44,72,23,812,35.30435,4,4,2,2,6.766667
7819,19,1,0,4,44,77,112,5812,51.89286,11,11,7,12,8.072222
7821,17,1,0,4,44,81,64,3525,55.07813,13,13,3,8,7.34375
7822,7,1,0,4,44,75,40,1347,33.675,4,2,3,3,7.483333
7823,9,1,0,4,44,80,19,978,51.47368,4,4,2,2,8.15
7824,17,0,0,4,44,74,103,5095,49.46602,7,6,7,10,8.491667
7825,11,1,0,4,44,85,68,3888,57.17647,8,8,6,6,10.8
7826,10,1,0,4,44,80,94,5039,53.60638,10,8,7,7,11.99762
7827,9,1,0,4,44,81,17,741,43.58823,4,4,2,2,6.175
7828,9,1,0,4,44,81,37,1808,48.86486,7,7,3,3,10.04444
7829,7,1,0,4,44,80,56,2824,50.42857,6,6,4,5,9.413333
7832,3,1,0,4,44,70,22,1195,54.31818,5,3,1,2,9.958333
7833,6,0,0,4,44,60,46,2347,51.02174,11,11,3,3,13.03889
